SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22021,1630188,0022100581,"Jan 06, 2022",PHX vs. LAC,W,33,9,17,0.529,1,2,0.5,0,1,0.0,8,6,14,1,0,0,1,4,19,5,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100565,"Jan 04, 2022",PHX @ NOP,W,16,4,7,0.571,2,3,0.667,2,2,1.0,1,4,5,1,0,1,1,4,12,-1,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100549,"Jan 02, 2022",PHX @ CHA,W,24,8,15,0.533,0,2,0.0,3,3,1.0,3,9,12,0,0,2,1,2,19,19,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100529,"Dec 31, 2021",PHX @ BOS,L,27,7,9,0.778,0,1,0.0,5,5,1.0,5,2,7,0,0,1,0,5,19,-12,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100522,"Dec 29, 2021",PHX vs. OKC,W,25,4,7,0.571,0,1,0.0,3,4,0.75,5,9,14,0,1,2,2,1,11,20,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100505,"Dec 27, 2021",PHX vs. MEM,L,29,4,10,0.4,2,4,0.5,5,6,0.833,6,3,9,0,1,0,2,1,15,19,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100469,"Dec 21, 2021",PHX @ LAL,W,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100456,"Dec 19, 2021",PHX vs. CHA,W,9,2,2,1.0,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,0,5,-5,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100432,"Dec 16, 2021",PHX vs. WAS,W,19,1,7,0.143,0,3,0.0,4,4,1.0,2,2,4,1,0,1,2,3,6,8,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100390,"Dec 10, 2021",PHX vs. BOS,W,22,3,8,0.375,1,6,0.167,0,0,0.0,2,7,9,1,1,2,1,3,7,3,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100340,"Dec 03, 2021",PHX @ GSW,L,3,3,3,1.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,7,2,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100282,"Nov 26, 2021",PHX @ NYK,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100251,"Nov 21, 2021",PHX vs. DEN,W,6,1,2,0.5,0,1,0.0,2,2,1.0,1,4,5,0,0,0,0,0,4,0,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100237,"Nov 19, 2021",PHX vs. DAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100178,"Nov 12, 2021",PHX @ MEM,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100088,"Oct 30, 2021",PHX vs. CLE,W,9,1,4,0.25,0,1,0.0,2,2,1.0,2,3,5,0,1,1,1,0,4,-5,1,2021-22,Regular Season,1630188,Jalen Smith
22021,1630188,0022100033,"Oct 23, 2021",PHX @ POR,L,10,2,3,0.667,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,2,5,4,1,2021-22,Regular Season,1630188,Jalen Smith
22022,1630188,0022201190,"Apr 05, 2023",IND vs. NYK,L,26,8,11,0.727,2,2,1.0,1,1,1.0,3,0,3,0,2,3,2,4,19,-15,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201173,"Apr 02, 2023",IND @ CLE,L,27,5,8,0.625,1,2,0.5,1,1,1.0,2,6,8,0,0,2,0,4,12,-2,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201149,"Mar 31, 2023",IND vs. OKC,W,29,5,10,0.5,1,3,0.333,1,3,0.333,5,10,15,1,0,1,1,3,12,6,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201136,"Mar 29, 2023",IND vs. MIL,L,20,8,15,0.533,1,5,0.2,0,0,0.0,4,2,6,4,1,0,1,6,17,0,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201123,"Mar 27, 2023",IND vs. DAL,L,24,4,8,0.5,1,3,0.333,2,4,0.5,0,6,6,0,0,0,1,2,11,1,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201107,"Mar 25, 2023",IND @ ATL,L,25,4,9,0.444,1,2,0.5,2,2,1.0,3,4,7,2,1,1,3,2,11,-17,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201097,"Mar 24, 2023",IND @ BOS,L,7,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,1,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201085,"Mar 22, 2023",IND @ TOR,W,10,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,1,0,1,1,2,2,4,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201071,"Mar 20, 2023",IND @ CHA,L,20,4,7,0.571,0,1,0.0,2,2,1.0,2,4,6,1,0,1,0,2,10,4,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201057,"Mar 18, 2023",IND vs. PHI,L,18,4,7,0.571,0,0,0.0,5,6,0.833,2,3,5,1,0,0,0,3,13,-9,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201045,"Mar 16, 2023",IND @ MIL,W,23,4,9,0.444,1,4,0.25,5,6,0.833,2,5,7,4,0,0,0,2,14,25,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201020,"Mar 13, 2023",IND @ DET,L,21,2,9,0.222,0,4,0.0,0,2,0.0,5,3,8,2,0,1,1,4,4,-19,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022201006,"Mar 11, 2023",IND @ DET,W,25,7,11,0.636,1,3,0.333,5,6,0.833,3,6,9,1,0,2,0,2,20,14,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200993,"Mar 09, 2023",IND vs. HOU,W,18,1,2,0.5,0,0,0.0,0,0,0.0,2,4,6,0,0,1,2,2,2,0,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200972,"Mar 06, 2023",IND vs. PHI,L,21,5,8,0.625,2,5,0.4,2,2,1.0,0,2,2,0,0,2,1,3,14,2,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200929,"Feb 28, 2023",IND @ DAL,W,16,4,6,0.667,1,2,0.5,2,2,1.0,2,7,9,1,0,1,2,3,11,10,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200905,"Feb 25, 2023",IND @ ORL,W,20,3,8,0.375,1,2,0.5,0,0,0.0,4,3,7,0,0,5,0,2,7,12,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200874,"Feb 15, 2023",IND vs. CHI,W,6,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,0,2,4,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200849,"Feb 11, 2023",IND @ WAS,L,8,1,5,0.2,0,2,0.0,1,2,0.5,1,1,2,0,0,0,0,0,3,-5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200836,"Feb 10, 2023",IND vs. PHX,L,8,1,2,0.5,0,1,0.0,0,0,0.0,2,2,4,0,0,1,0,0,2,11,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200803,"Feb 05, 2023",IND vs. CLE,L,6,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,0,4,0,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200736,"Jan 27, 2023",IND vs. MIL,L,11,3,5,0.6,1,1,1.0,2,4,0.5,0,5,5,1,0,0,0,1,9,-5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200713,"Jan 24, 2023",IND vs. CHI,W,6,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200697,"Jan 21, 2023",IND @ PHX,L,12,4,6,0.667,1,2,0.5,2,2,1.0,3,3,6,0,0,0,4,4,11,-14,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200688,"Jan 20, 2023",IND @ DEN,L,16,4,10,0.4,1,4,0.25,0,0,0.0,1,3,4,1,1,0,0,4,9,-15,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200657,"Jan 16, 2023",IND @ MIL,L,11,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2,-5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200643,"Jan 14, 2023",IND vs. MEM,L,12,2,5,0.4,0,2,0.0,2,4,0.5,4,2,6,0,1,2,1,4,6,-16,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200633,"Jan 13, 2023",IND vs. ATL,L,20,4,8,0.5,0,2,0.0,6,7,0.857,3,3,6,1,0,1,2,4,14,16,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200622,"Jan 11, 2023",IND @ NYK,L,25,3,6,0.5,0,2,0.0,1,2,0.5,1,2,3,4,1,0,1,3,7,-13,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200598,"Jan 08, 2023",IND vs. CHA,W,14,2,3,0.667,1,1,1.0,2,2,1.0,1,1,2,2,0,0,1,4,7,-15,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200567,"Jan 04, 2023",IND @ PHI,L,15,6,9,0.667,1,1,1.0,4,4,1.0,3,3,6,1,1,0,0,2,17,-7,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200553,"Jan 02, 2023",IND vs. TOR,W,17,5,10,0.5,0,1,0.0,1,2,0.5,7,4,11,2,0,0,0,1,11,9,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200538,"Dec 31, 2022",IND vs. LAC,W,14,4,7,0.571,1,2,0.5,0,0,0.0,2,2,4,0,2,0,3,1,9,-5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200524,"Dec 29, 2022",IND vs. CLE,W,13,2,3,0.667,0,1,0.0,1,1,1.0,1,0,1,1,0,1,1,2,5,-7,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200508,"Dec 27, 2022",IND vs. ATL,W,20,4,6,0.667,0,1,0.0,1,1,1.0,1,6,7,0,0,0,1,2,9,9,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200502,"Dec 26, 2022",IND @ NOP,L,7,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-22,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200486,"Dec 23, 2022",IND @ MIA,W,23,6,9,0.667,1,3,0.333,1,1,1.0,3,8,11,0,0,3,1,3,14,0,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200469,"Dec 21, 2022",IND @ BOS,W,21,3,6,0.5,2,4,0.5,0,0,0.0,3,6,9,1,0,1,2,3,8,3,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200446,"Dec 18, 2022",IND vs. NYK,L,11,4,5,0.8,0,1,0.0,1,1,1.0,1,1,2,0,1,1,1,2,9,7,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200431,"Dec 16, 2022",IND @ CLE,L,14,4,6,0.667,0,2,0.0,1,1,1.0,0,4,4,1,0,0,1,1,9,3,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200415,"Dec 14, 2022",IND vs. GSW,W,17,2,8,0.25,0,3,0.0,0,0,0.0,1,5,6,4,0,3,2,4,4,3,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200402,"Dec 12, 2022",IND vs. MIA,L,13,0,4,0.0,0,2,0.0,2,4,0.5,1,1,2,1,3,1,1,0,2,-6,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200388,"Dec 10, 2022",IND vs. BKN,L,13,5,10,0.5,3,8,0.375,0,0,0.0,0,3,3,1,0,0,2,2,13,-8,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200378,"Dec 09, 2022",IND vs. WAS,W,12,0,7,0.0,0,3,0.0,3,4,0.75,2,4,6,0,1,0,1,2,3,-2,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200359,"Dec 05, 2022",IND @ GSW,W,28,6,8,0.75,2,3,0.667,1,2,0.5,3,6,9,2,0,3,1,3,15,-4,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200351,"Dec 04, 2022",IND @ POR,L,17,3,8,0.375,0,3,0.0,0,0,0.0,2,1,3,3,0,2,0,0,6,-15,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200335,"Dec 02, 2022",IND @ UTA,L,20,4,11,0.364,1,5,0.2,5,5,1.0,2,1,3,0,0,2,2,4,14,-18,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200323,"Nov 30, 2022",IND @ SAC,L,19,8,10,0.8,4,5,0.8,2,3,0.667,2,4,6,0,0,1,1,3,22,-11,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200308,"Nov 28, 2022",IND @ LAL,W,24,1,4,0.25,1,3,0.333,6,6,1.0,0,3,3,2,1,1,2,3,9,12,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200292,"Nov 27, 2022",IND @ LAC,L,29,8,14,0.571,3,7,0.429,4,4,1.0,3,6,9,0,0,1,1,2,23,-12,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200276,"Nov 25, 2022",IND vs. BKN,W,21,2,6,0.333,1,4,0.25,5,6,0.833,0,5,5,0,0,0,0,3,10,3,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200262,"Nov 23, 2022",IND vs. MIN,L,22,1,6,0.167,0,3,0.0,0,0,0.0,2,1,3,1,2,1,1,1,2,-15,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200249,"Nov 21, 2022",IND vs. ORL,W,18,3,8,0.375,0,4,0.0,0,0,0.0,2,2,4,1,0,1,0,1,6,4,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200236,"Nov 19, 2022",IND vs. ORL,W,25,6,14,0.429,1,6,0.167,1,2,0.5,2,3,5,0,0,0,1,2,14,2,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200228,"Nov 18, 2022",IND @ HOU,W,30,4,10,0.4,0,2,0.0,2,2,1.0,4,14,18,4,1,3,1,3,10,3,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200211,"Nov 16, 2022",IND @ CHA,W,26,4,11,0.364,0,4,0.0,3,4,0.75,2,5,7,1,0,1,1,1,11,12,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200187,"Nov 12, 2022",IND vs. TOR,W,25,6,11,0.545,3,7,0.429,1,2,0.5,0,5,5,2,0,0,3,3,16,9,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200160,"Nov 09, 2022",IND vs. DEN,L,18,2,9,0.222,2,5,0.4,0,0,0.0,1,4,5,1,0,0,2,1,6,-6,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200147,"Nov 07, 2022",IND vs. NOP,W,29,6,11,0.545,3,7,0.429,0,0,0.0,3,8,11,1,0,1,1,3,15,14,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200121,"Nov 04, 2022",IND vs. MIA,W,11,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,2,0,0,3,2,0,-14,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200098,"Oct 31, 2022",IND @ BKN,L,26,1,4,0.25,0,2,0.0,1,2,0.5,0,4,4,1,1,1,2,4,3,-5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200083,"Oct 29, 2022",IND @ BKN,W,34,3,14,0.214,1,4,0.25,1,2,0.5,7,7,14,1,0,0,2,3,8,8,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200074,"Oct 28, 2022",IND @ WAS,W,31,4,6,0.667,0,0,0.0,7,8,0.875,0,7,7,0,0,0,1,2,15,14,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200061,"Oct 26, 2022",IND @ CHI,L,29,6,10,0.6,3,5,0.6,0,0,0.0,2,7,9,2,0,2,2,2,15,5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200044,"Oct 24, 2022",IND @ PHI,L,25,6,12,0.5,2,5,0.4,3,4,0.75,4,6,10,1,1,1,1,2,17,-5,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200029,"Oct 22, 2022",IND vs. DET,W,28,9,16,0.563,1,5,0.2,0,1,0.0,3,12,15,1,0,3,1,2,19,-1,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200018,"Oct 21, 2022",IND vs. SAS,L,7,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,2,-11,1,2022-23,Regular Season,1630188,Jalen Smith
22022,1630188,0022200004,"Oct 19, 2022",IND vs. WAS,L,22,6,14,0.429,1,6,0.167,3,5,0.6,1,7,8,1,0,1,0,2,16,0,1,2022-23,Regular Season,1630188,Jalen Smith
22023,1630188,0022301188,"Apr 14, 2024",IND vs. ATL,W,19,4,4,1.0,2,2,1.0,0,0,0.0,3,2,5,2,0,1,2,2,10,10,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301174,"Apr 12, 2024",IND @ CLE,L,20,5,8,0.625,1,2,0.5,0,0,0.0,3,3,6,0,2,0,1,3,11,1,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301146,"Apr 09, 2024",IND @ TOR,W,4,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-1,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301133,"Apr 07, 2024",IND vs. MIA,W,11,2,6,0.333,0,2,0.0,0,0,0.0,0,1,1,2,0,0,0,1,4,6,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301116,"Apr 05, 2024",IND vs. OKC,W,13,3,6,0.5,0,2,0.0,6,7,0.857,2,4,6,2,0,0,1,0,12,11,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301106,"Apr 03, 2024",IND @ BKN,L,22,4,11,0.364,0,3,0.0,0,0,0.0,3,6,9,2,1,2,0,1,8,-19,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301089,"Apr 01, 2024",IND vs. BKN,W,16,7,11,0.636,1,1,1.0,2,3,0.667,6,4,10,0,0,1,1,1,17,5,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301063,"Mar 29, 2024",IND vs. LAL,W,17,2,5,0.4,0,1,0.0,0,0,0.0,2,5,7,0,2,1,0,3,4,5,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301054,"Mar 27, 2024",IND @ CHI,L,12,2,5,0.4,1,3,0.333,0,0,0.0,2,2,4,0,0,0,1,4,5,-20,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301043,"Mar 25, 2024",IND @ LAC,W,14,3,6,0.5,0,0,0.0,3,4,0.75,2,3,5,1,0,2,0,1,9,17,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301032,"Mar 24, 2024",IND @ LAL,L,5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022301016,"Mar 22, 2024",IND @ GSW,W,21,4,5,0.8,3,3,1.0,0,0,0.0,3,4,7,1,1,1,0,2,11,5,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300983,"Mar 18, 2024",IND vs. CLE,L,19,3,9,0.333,2,7,0.286,3,6,0.5,4,4,8,1,0,1,0,2,11,1,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300968,"Mar 16, 2024",IND vs. BKN,W,19,4,8,0.5,1,3,0.333,0,0,0.0,4,1,5,0,0,0,0,3,9,-2,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300948,"Mar 13, 2024",IND vs. CHI,L,18,5,7,0.714,2,4,0.5,3,4,0.75,2,4,6,0,0,0,0,5,15,12,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300941,"Mar 12, 2024",IND @ OKC,W,18,2,5,0.4,0,2,0.0,2,2,1.0,1,8,9,3,0,1,1,1,6,3,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300903,"Mar 07, 2024",IND vs. MIN,L,20,5,5,1.0,1,1,1.0,3,6,0.5,1,1,2,4,0,1,0,1,14,-3,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300892,"Mar 05, 2024",IND @ DAL,W,18,4,7,0.571,1,2,0.5,2,5,0.4,2,3,5,1,0,0,1,1,11,2,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300877,"Mar 03, 2024",IND @ SAS,L,12,1,3,0.333,0,2,0.0,2,2,1.0,2,5,7,0,0,0,1,0,4,-2,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300863,"Mar 01, 2024",IND @ NOP,L,11,4,6,0.667,1,2,0.5,0,0,0.0,2,1,3,0,0,0,1,1,9,-18,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300843,"Feb 28, 2024",IND vs. NOP,W,18,4,9,0.444,0,3,0.0,1,1,1.0,2,5,7,1,0,1,2,3,9,12,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300829,"Feb 26, 2024",IND vs. TOR,L,14,4,7,0.571,1,2,0.5,0,0,0.0,3,2,5,2,0,1,0,0,9,8,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300819,"Feb 25, 2024",IND vs. DAL,W,15,1,6,0.167,0,4,0.0,0,0,0.0,1,5,6,2,0,0,1,3,2,11,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300733,"Feb 08, 2024",IND vs. GSW,L,13,6,6,1.0,2,2,1.0,0,0,0.0,3,2,5,0,1,0,0,1,14,3,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300719,"Feb 06, 2024",IND vs. HOU,W,17,4,6,0.667,1,2,0.5,0,0,0.0,1,2,3,2,0,2,1,3,9,3,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300707,"Feb 04, 2024",IND @ CHA,W,20,4,9,0.444,1,3,0.333,1,1,1.0,1,4,5,0,0,1,0,0,10,0,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300685,"Feb 01, 2024",IND @ NYK,L,24,9,11,0.818,2,3,0.667,0,1,0.0,1,8,9,0,2,2,1,0,20,2,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300670,"Jan 30, 2024",IND @ BOS,L,21,2,6,0.333,0,3,0.0,3,3,1.0,2,2,4,2,0,0,0,2,7,-17,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300652,"Jan 28, 2024",IND vs. MEM,W,30,8,13,0.615,3,6,0.5,0,0,0.0,3,7,10,2,0,2,1,4,19,-2,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300636,"Jan 26, 2024",IND vs. PHX,W,20,6,11,0.545,1,3,0.333,0,1,0.0,5,5,10,0,1,1,2,2,13,-5,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300627,"Jan 25, 2024",IND vs. PHI,W,9,3,4,0.75,0,1,0.0,0,1,0.0,1,0,1,0,0,2,0,6,6,-4,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300604,"Jan 21, 2024",IND @ PHX,L,19,5,5,1.0,3,3,1.0,2,4,0.5,2,2,4,1,1,2,1,0,15,11,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300590,"Jan 19, 2024",IND @ POR,L,14,2,5,0.4,1,1,1.0,2,2,1.0,2,1,3,0,0,0,1,2,7,-9,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300583,"Jan 18, 2024",IND @ SAC,W,25,6,7,0.857,1,2,0.5,4,4,1.0,1,12,13,1,0,1,0,3,17,8,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300564,"Jan 15, 2024",IND @ UTA,L,19,5,10,0.5,2,5,0.4,0,0,0.0,1,5,6,3,0,1,2,5,12,-28,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300550,"Jan 14, 2024",IND @ DEN,L,25,4,7,0.571,0,1,0.0,0,1,0.0,2,1,3,3,0,0,0,2,8,-16,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300533,"Jan 12, 2024",IND @ ATL,W,19,3,7,0.429,0,0,0.0,0,0,0.0,3,4,7,0,0,0,0,1,6,11,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300507,"Jan 08, 2024",IND vs. BOS,W,27,3,8,0.375,1,4,0.25,4,4,1.0,2,7,9,1,0,3,2,1,11,5,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300493,"Jan 06, 2024",IND vs. BOS,L,26,2,6,0.333,1,4,0.25,2,2,1.0,1,6,7,2,0,0,0,2,7,-7,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300480,"Jan 05, 2024",IND vs. ATL,W,23,5,7,0.714,1,3,0.333,0,0,0.0,0,2,2,2,0,0,0,2,11,4,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300466,"Jan 03, 2024",IND vs. MIL,W,19,5,8,0.625,1,4,0.25,2,2,1.0,2,5,7,3,0,0,1,2,13,23,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300454,"Jan 01, 2024",IND @ MIL,W,12,3,10,0.3,1,6,0.167,0,0,0.0,1,1,2,0,0,0,0,1,7,-19,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300441,"Dec 30, 2023",IND vs. NYK,W,21,3,5,0.6,1,2,0.5,2,4,0.5,0,4,4,2,0,2,1,5,9,3,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300422,"Dec 28, 2023",IND @ CHI,W,25,6,7,0.857,1,2,0.5,2,5,0.4,2,5,7,1,0,0,0,3,15,4,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300409,"Dec 26, 2023",IND @ HOU,W,23,5,11,0.455,1,4,0.25,1,1,1.0,2,6,8,1,1,2,1,3,12,11,1,2023-24,Regular Season,1630188,Jalen Smith
22023,1630188,0022300391,"Dec 23, 2023",IND vs. ORL,L,15,4,5,0.8,3,4,0.75,0,1,0.0,1,1,2,1,0,0,2,5,11,-19,1,2023-24,Regular Season,1630188,Jalen Smith
