SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON,SEASON_TYPE,TEAM_ABBR
22015,1610612737,ATL,Atlanta Hawks,21500001,10/27/2015,ATL vs. DET,L,239,94,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,-12,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500019,10/29/2015,ATL @ NYK,W,240,112,42,83,0.506,10,24,0.417,18,26,0.692,7,32,39,26,11,4,15,18,11,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500026,10/30/2015,ATL vs. CHA,W,241,97,36,83,0.434,8,23,0.348,17,22,0.773,8,37,45,23,9,4,15,17,3,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500039,11/1/2015,ATL @ CHA,W,240,94,37,88,0.42,7,29,0.241,13,14,0.929,9,39,48,22,9,6,11,16,2,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500055,11/3/2015,ATL @ MIA,W,239,98,37,90,0.411,7,21,0.333,17,22,0.773,16,35,51,25,10,1,15,14,6,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500062,11/4/2015,ATL vs. BKN,W,241,101,37,76,0.487,8,22,0.364,19,24,0.792,6,28,34,27,15,10,13,17,14,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500081,11/6/2015,ATL @ NOP,W,240,121,41,77,0.532,9,21,0.429,30,35,0.857,6,35,41,30,10,6,15,21,6,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500086,11/7/2015,ATL vs. WAS,W,240,114,43,92,0.467,13,33,0.394,15,15,1,10,29,39,37,12,4,14,15,15,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500101,11/9/2015,ATL vs. MIN,L,239,107,44,86,0.512,13,31,0.419,6,7,0.857,4,23,27,30,13,6,17,19,-10,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500117,11/11/2015,ATL vs. NOP,W,241,106,42,86,0.488,10,26,0.385,12,16,0.75,8,36,44,26,10,7,12,16,8,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500129,11/13/2015,ATL @ BOS,L,240,93,36,76,0.474,6,20,0.3,15,20,0.75,5,30,35,26,3,2,16,14,-13,2015-16,Regular Season,ATL
22015,1610612737,ATL,Atlanta Hawks,21500148,11/15/2015,ATL vs. UTA,L,241,96,37,76,0.487,8,22,0.364,14,17,0.824,8,25,33,26,9,5,15,16,-1,2015-16,Regular Season,ATL
