SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22022,1630165,0022200113,"Nov 02, 2022",DET @ MIL,L,22,1,5,0.2,1,2,0.5,2,2,1.0,0,0,0,1,1,1,3,2,5,-3,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200100,"Oct 31, 2022",DET @ MIL,L,17,0,4,0.0,0,1,0.0,0,0,0.0,0,4,4,3,0,0,1,2,0,7,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200091,"Oct 30, 2022",DET vs. GSW,W,18,2,7,0.286,0,1,0.0,0,0,0.0,0,2,2,5,1,0,2,4,4,-1,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200070,"Oct 28, 2022",DET vs. ATL,L,19,1,6,0.167,0,1,0.0,0,0,0.0,2,3,5,4,0,0,2,2,2,-10,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200057,"Oct 26, 2022",DET vs. ATL,L,16,2,6,0.333,1,2,0.5,0,0,0.0,1,0,1,4,1,1,0,4,5,-8,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200052,"Oct 25, 2022",DET @ WAS,L,17,0,6,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,4,1,0,-3,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200029,"Oct 22, 2022",DET @ IND,L,17,2,4,0.5,1,3,0.333,0,0,0.0,0,0,0,2,0,1,0,2,5,-12,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200023,"Oct 21, 2022",DET @ NYK,L,18,0,5,0.0,0,3,0.0,1,2,0.5,0,1,1,5,0,0,1,4,1,-14,1,2022-23,Regular Season,1630165,Killian Hayes
22022,1630165,0022200003,"Oct 19, 2022",DET vs. ORL,W,16,1,9,0.111,0,3,0.0,1,1,1.0,0,5,5,5,3,1,0,1,3,6,1,2022-23,Regular Season,1630165,Killian Hayes
22023,1630165,0022300732,"Feb 07, 2024",DET @ SAC,W,28,3,7,0.429,2,4,0.5,0,0,0.0,0,4,4,9,0,0,1,2,8,-1,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300654,"Jan 28, 2024",DET vs. OKC,W,14,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,3,0,0,1,0,2,-9,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300642,"Jan 27, 2024",DET vs. WAS,L,10,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,2,2,1,2,-6,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300619,"Jan 24, 2024",DET vs. CHA,W,27,2,3,0.667,1,2,0.5,1,3,0.333,0,7,7,8,0,0,1,1,6,4,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300606,"Jan 22, 2024",DET vs. MIL,L,16,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,5,1,1,1,2,2,-10,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300592,"Jan 20, 2024",DET vs. MIL,L,18,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,5,1,0,1,3,2,-19,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300569,"Jan 17, 2024",DET vs. MIN,L,26,4,4,1.0,0,0,0.0,0,0,0.0,0,1,1,8,0,0,0,3,8,-3,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300558,"Jan 15, 2024",DET @ WAS,W,24,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,6,0,0,1,1,4,-4,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300534,"Jan 12, 2024",DET vs. HOU,L,29,2,6,0.333,0,2,0.0,1,1,1.0,0,4,4,8,1,1,1,1,5,-7,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300519,"Jan 10, 2024",DET vs. SAS,L,32,2,8,0.25,0,0,0.0,0,0,0.0,1,3,4,12,0,0,1,1,4,-11,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300512,"Jan 09, 2024",DET vs. SAC,L,31,1,4,0.25,0,1,0.0,2,2,1.0,1,3,4,7,1,0,6,2,4,-15,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300502,"Jan 07, 2024",DET @ DEN,L,25,1,5,0.2,0,1,0.0,0,0,0.0,0,2,2,6,1,0,1,4,2,-10,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300490,"Jan 05, 2024",DET @ GSW,L,16,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,5,2,0,0,0,0,-4,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300474,"Jan 03, 2024",DET @ UTA,L,13,1,3,0.333,0,0,0.0,0,0,0.0,0,4,4,6,0,1,0,2,2,4,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300453,"Jan 01, 2024",DET @ HOU,L,19,3,8,0.375,1,2,0.5,1,4,0.25,0,1,1,3,1,0,1,2,8,-2,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300440,"Dec 30, 2023",DET vs. TOR,W,10,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,4,1,0,3,2,0,1,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300421,"Dec 28, 2023",DET @ BOS,L,10,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,1,0,3,0,2,-10,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300334,"Dec 16, 2023",DET @ MIL,L,14,1,4,0.25,0,0,0.0,0,0,0.0,0,4,4,5,0,0,1,0,2,-3,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300327,"Dec 15, 2023",DET @ PHI,L,21,1,6,0.167,0,1,0.0,3,4,0.75,1,3,4,2,0,1,3,3,5,-28,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300310,"Dec 13, 2023",DET vs. PHI,L,32,3,8,0.375,0,0,0.0,0,0,0.0,0,3,3,6,1,0,1,2,6,1,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300293,"Dec 11, 2023",DET vs. IND,L,23,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,7,1,0,2,0,6,-4,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022301217,"Dec 08, 2023",DET @ ORL,L,32,7,11,0.636,0,2,0.0,2,3,0.667,1,6,7,4,0,1,2,1,16,-22,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022301206,"Dec 06, 2023",DET vs. MEM,L,27,5,13,0.385,1,3,0.333,1,1,1.0,2,2,4,4,1,0,3,3,12,-6,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300283,"Dec 02, 2023",DET vs. CLE,L,33,6,11,0.545,1,1,1.0,0,1,0.0,0,6,6,3,2,1,2,2,13,7,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300268,"Nov 30, 2023",DET @ NYK,L,28,10,13,0.769,2,3,0.667,1,4,0.25,0,3,3,4,1,1,0,3,23,-3,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300258,"Nov 29, 2023",DET vs. LAL,L,22,3,9,0.333,0,3,0.0,1,1,1.0,0,1,1,8,2,0,0,2,7,8,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300253,"Nov 27, 2023",DET vs. WAS,L,16,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,3,0,3,0,1,0,-10,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300047,"Nov 24, 2023",DET @ IND,L,17,3,6,0.5,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,0,6,-25,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300218,"Nov 20, 2023",DET vs. DEN,L,14,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,2,2,0,2,2,0,-5,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300030,"Nov 17, 2023",DET @ CLE,L,22,2,6,0.333,0,2,0.0,0,0,0.0,0,0,0,2,1,1,0,0,4,-14,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300018,"Nov 14, 2023",DET vs. ATL,L,23,3,8,0.375,1,3,0.333,1,2,0.5,0,3,3,5,1,2,1,2,8,12,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300181,"Nov 12, 2023",DET @ CHI,L,25,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,3,0,0,0,1,7,-12,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300008,"Nov 10, 2023",DET vs. PHI,L,39,8,17,0.471,2,6,0.333,5,7,0.714,0,5,5,6,2,0,2,1,23,-9,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300165,"Nov 08, 2023",DET @ MIL,L,29,6,15,0.4,0,3,0.0,2,2,1.0,0,5,5,4,1,0,1,1,14,-2,1,2023-24,Regular Season,1630165,Killian Hayes
22023,1630165,0022300145,"Nov 06, 2023",DET vs. GSW,L,34,8,12,0.667,3,4,0.75,2,2,1.0,0,4,4,7,1,1,0,3,21,-6,1,2023-24,Regular Season,1630165,Killian Hayes
